date,bundesland_id,bundesland_name,landkreis_id,landkreis_name,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,intensivbetten_frei,occupancy,intensivbetten_belegt_erwachsen,intensivbetten_frei_erwachsen
2021-02-16,16,Thüringen,16077,LK Altenburger Land,1,2,6,4.0,0,32,28,0
2021-02-17,16,Thüringen,16077,LK Altenburger Land,1,2,5,4.0,3,29,25,3
2021-02-18,16,Thüringen,16077,LK Altenburger Land,1,2,5,4.0,1,31,28,0
2021-02-19,16,Thüringen,16077,LK Altenburger Land,1,2,5,3.0,1,31,28,0
2021-02-20,16,Thüringen,16077,LK Altenburger Land,1,2,5,3.0,1,30,28,0
2021-02-21,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,1,30,28,0
2021-02-22,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,1,30,28,0
2021-02-23,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,3,27,26,2
2021-02-24,16,Thüringen,16077,LK Altenburger Land,1,2,4,4.0,4,26,25,3
2021-02-25,16,Thüringen,16077,LK Altenburger Land,1,2,4,4.0,1,29,28,0
2021-02-26,16,Thüringen,16077,LK Altenburger Land,1,2,3,3.0,0,30,28,0
2021-02-27,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,26,2
2021-02-28,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,27,1
2021-03-01,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,0,30,28,0
2021-03-02,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,26,23,5
2021-03-03,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,28,25,3
2021-03-04,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,0,31,28,0
2021-03-05,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,4,27,24,4
2021-03-06,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,27,1
2021-03-07,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,27,1
2021-03-08,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,23,5
2021-03-09,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,23,5
2021-03-10,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,7,25,22,6
2021-03-11,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,24,20,8
2021-03-12,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,13,19,16,12
2021-03-13,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,6,26,23,5
2021-03-14,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,8,23,21,7
2021-03-15,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,5,26,24,4
2021-03-16,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,8,23,21,7
2021-03-17,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,5,26,24,4
2021-03-18,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,8,23,21,7
2021-03-19,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,6,24,23,5
2021-03-20,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,8,22,21,7
2021-03-21,16,Thüringen,16077,LK Altenburger Land,1,2,4,3.0,6,24,23,5
2021-03-22,16,Thüringen,16077,LK Altenburger Land,1,2,4,3.0,7,23,21,7
2021-03-23,16,Thüringen,16077,LK Altenburger Land,1,2,5,4.0,5,25,24,4
2021-03-24,16,Thüringen,16077,LK Altenburger Land,1,2,6,4.0,1,29,28,0
2021-03-25,16,Thüringen,16077,LK Altenburger Land,1,2,6,4.0,1,29,28,0
2021-03-26,16,Thüringen,16077,LK Altenburger Land,1,2,7,5.0,1,29,28,0
2021-03-27,16,Thüringen,16077,LK Altenburger Land,1,2,6,4.0,1,28,28,0
2021-03-28,16,Thüringen,16077,LK Altenburger Land,1,2,6,4.0,1,28,28,0
2021-03-29,16,Thüringen,16077,LK Altenburger Land,1,2,7,5.0,1,28,28,0
2021-03-30,16,Thüringen,16077,LK Altenburger Land,1,2,8,6.0,1,28,28,0
2021-03-31,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,1,28,27,1
2021-04-01,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,3,26,25,3
2021-04-02,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,2,27,26,2
2021-04-03,16,Thüringen,16077,LK Altenburger Land,1,2,8,5.0,2,27,26,2
2021-04-04,16,Thüringen,16077,LK Altenburger Land,1,2,9,5.0,0,29,28,0
2021-04-05,16,Thüringen,16077,LK Altenburger Land,1,2,8,5.0,0,29,28,0
2021-04-06,16,Thüringen,16077,LK Altenburger Land,1,2,8,4.0,0,29,28,0
2021-04-07,16,Thüringen,16077,LK Altenburger Land,1,2,6,3.0,2,27,26,2
2021-04-08,16,Thüringen,16077,LK Altenburger Land,1,2,5,4.0,1,28,27,1
2021-04-09,16,Thüringen,16077,LK Altenburger Land,1,2,4,3.0,0,29,28,0
2021-04-10,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,1,28,28,0
2021-04-11,16,Thüringen,16077,LK Altenburger Land,1,2,7,5.0,0,29,28,0
2021-04-12,16,Thüringen,16077,LK Altenburger Land,1,2,8,5.0,0,29,28,0
2021-04-13,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,1,28,27,1
2021-04-14,16,Thüringen,16077,LK Altenburger Land,1,2,7,3.0,0,29,28,0
2021-04-15,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,2,27,26,2
2021-04-16,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,3,26,25,3
2021-04-17,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,2,27,26,2
2021-04-18,16,Thüringen,16077,LK Altenburger Land,1,2,6,5.0,4,25,24,4
2021-04-19,16,Thüringen,16077,LK Altenburger Land,1,2,7,6.0,5,24,23,5
2021-04-20,16,Thüringen,16077,LK Altenburger Land,1,2,7,7.0,0,29,28,0
2021-04-21,16,Thüringen,16077,LK Altenburger Land,1,2,7,7.0,0,29,28,0
2021-04-22,16,Thüringen,16077,LK Altenburger Land,1,2,8,8.0,0,30,28,0
2021-04-23,16,Thüringen,16077,LK Altenburger Land,1,2,8,7.0,0,30,28,0
2021-04-24,16,Thüringen,16077,LK Altenburger Land,1,2,8,7.0,1,29,28,0
2021-04-25,16,Thüringen,16077,LK Altenburger Land,1,2,8,7.0,1,29,28,0
2021-04-26,16,Thüringen,16077,LK Altenburger Land,1,2,8,7.0,2,28,27,1
2021-04-27,16,Thüringen,16077,LK Altenburger Land,1,2,7,4.0,1,29,28,0
2021-04-28,16,Thüringen,16077,LK Altenburger Land,1,2,5,2.0,3,27,26,2
2021-04-29,16,Thüringen,16077,LK Altenburger Land,1,2,5,2.0,3,27,26,2
2021-04-30,16,Thüringen,16077,LK Altenburger Land,1,2,5,4.0,1,29,28,0
2021-05-01,16,Thüringen,16077,LK Altenburger Land,1,2,4,2.0,2,28,26,2
2021-05-02,16,Thüringen,16077,LK Altenburger Land,1,2,5,2.0,0,30,28,0
2021-05-03,16,Thüringen,16077,LK Altenburger Land,1,2,5,2.0,2,28,26,2
2021-05-04,16,Thüringen,16077,LK Altenburger Land,1,2,4,2.0,3,27,25,3
2021-05-05,16,Thüringen,16077,LK Altenburger Land,1,2,4,2.0,5,25,24,4
2021-05-06,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,25,24,4
2021-05-07,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,6,24,23,5
2021-05-08,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,8,22,21,7
2021-05-09,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,8,22,21,7
2021-05-10,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,6,24,24,4
2021-05-11,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,6,24,24,4
2021-05-12,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,6,24,24,4
2021-05-13,16,Thüringen,16077,LK Altenburger Land,1,2,4,3.0,6,24,24,4
2021-05-14,16,Thüringen,16077,LK Altenburger Land,1,2,4,1.0,5,25,25,3
2021-05-15,16,Thüringen,16077,LK Altenburger Land,1,2,4,2.0,4,26,26,2
2021-05-16,16,Thüringen,16077,LK Altenburger Land,1,2,4,2.0,8,22,22,6
2021-05-17,16,Thüringen,16077,LK Altenburger Land,1,2,4,2.0,7,23,22,6
2021-05-18,16,Thüringen,16077,LK Altenburger Land,1,2,3,2.0,3,27,26,2
2021-05-19,16,Thüringen,16077,LK Altenburger Land,1,2,3,2.0,1,29,28,0
2021-05-20,16,Thüringen,16077,LK Altenburger Land,1,2,3,2.0,1,29,28,0
2021-05-21,16,Thüringen,16077,LK Altenburger Land,1,2,3,2.0,2,28,28,0
2021-05-22,16,Thüringen,16077,LK Altenburger Land,1,2,4,3.0,2,28,28,0
2021-05-23,16,Thüringen,16077,LK Altenburger Land,1,2,2,2.0,5,25,24,4
2021-05-24,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,3,27,26,2
2021-05-25,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,3,27,26,2
2021-05-26,16,Thüringen,16077,LK Altenburger Land,1,2,3,0.0,3,27,27,1
2021-05-27,16,Thüringen,16077,LK Altenburger Land,1,2,3,0.0,3,27,27,1
2021-05-28,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,2,28,28,0
2021-05-29,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,6,24,24,4
2021-05-30,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,25,25,3
2021-05-31,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,2,28,28,0
2021-06-01,16,Thüringen,16077,LK Altenburger Land,1,2,2,0.0,2,28,28,0
2021-06-02,16,Thüringen,16077,LK Altenburger Land,1,2,2,0.0,6,24,24,4
2021-06-03,16,Thüringen,16077,LK Altenburger Land,1,2,2,0.0,5,25,25,3
2021-06-04,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,7,23,22,6
2021-06-05,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,7,23,22,6
2021-06-06,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,7,23,22,6
2021-06-07,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,7,23,22,6
2021-06-08,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,27,26,2
2021-06-09,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-06-10,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-06-11,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,27,26,2
2021-06-12,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,27,26,2
2021-06-13,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,27,1
2021-06-14,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,27,1
2021-06-15,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,27,1
2021-06-16,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,0,30,28,0
2021-06-17,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,0,30,28,0
2021-06-18,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,0,30,28,0
2021-06-19,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,0,30,28,0
2021-06-20,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,27,1
2021-06-21,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-06-22,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-06-23,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,27,1
2021-06-24,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,27,1
2021-06-25,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-06-26,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-06-27,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,28,0
2021-06-28,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,28,0
2021-06-29,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-06-30,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,28,0
2021-07-01,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,0,30,28,0
2021-07-02,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,0,31,28,0
2021-07-03,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,28,0
2021-07-04,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,28,0
2021-07-05,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,28,0
2021-07-06,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,28,0
2021-07-07,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,28,28,0
2021-07-08,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-07-09,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,29,28,0
2021-07-10,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,10,20,18,10
2021-07-11,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,22,20,8
2021-07-12,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,25,22,6
2021-07-13,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,27,1
2021-07-14,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,28,0
2021-07-15,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,28,26,2
2021-07-16,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,28,26,2
2021-07-17,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,28,26,2
2021-07-18,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,4,27,26,2
2021-07-19,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,7,24,23,5
2021-07-20,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,4,27,26,2
2021-07-21,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,28,27,1
2021-07-22,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,28,0
2021-07-23,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,28,0
2021-07-24,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,7,25,21,7
2021-07-25,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,24,4
2021-07-26,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,26,24,4
2021-07-27,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,28,0
2021-07-28,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,1,30,28,0
2021-07-29,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,1,30,28,0
2021-07-30,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,4,28,28,0
2021-07-31,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,4,28,28,0
2021-08-01,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,4,28,28,0
2021-08-02,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,4,28,28,0
2021-08-03,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,4,28,28,0
2021-08-04,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,4,27,26,2
2021-08-05,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,3,28,27,1
2021-08-06,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,7,24,23,5
2021-08-07,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,5,27,23,5
2021-08-08,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,6,26,23,5
2021-08-09,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,4,28,26,2
2021-08-10,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,2,30,28,0
2021-08-11,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,2,30,28,0
2021-08-12,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,4,28,26,2
2021-08-13,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,4,28,25,3
2021-08-14,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,28,23,5
2021-08-15,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,4,28,24,4
2021-08-16,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,29,25,3
2021-08-17,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,29,25,3
2021-08-18,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,24,4
2021-08-19,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,4,28,26,2
2021-08-20,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,7,25,24,4
2021-08-21,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,5,27,25,3
2021-08-22,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,5,27,25,3
2021-08-23,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,10,22,20,8
2021-08-24,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,8,24,23,5
2021-08-25,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,10,22,22,6
2021-08-26,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,8,24,24,4
2021-08-27,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,7,25,25,3
2021-08-28,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,5,27,27,1
2021-08-29,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,7,25,25,3
2021-08-30,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,6,26,25,3
2021-08-31,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,7,25,24,4
2021-09-01,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,11,21,20,8
2021-09-02,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,10,22,21,7
2021-09-03,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,7,25,24,4
2021-09-04,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,6,26,25,3
2021-09-05,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,10,22,21,7
2021-09-06,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,11,21,20,8
2021-09-07,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,13,19,18,10
2021-09-08,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,12,20,18,10
2021-09-09,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,10,22,20,8
2021-09-10,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,7,25,24,4
2021-09-11,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,10,22,21,7
2021-09-12,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,26,2
2021-09-13,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,26,2
2021-09-14,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,24,22,6
2021-09-15,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,24,4
2021-09-16,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,25,3
2021-09-17,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,26,2
2021-09-18,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,25,3
2021-09-19,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,25,3
2021-09-20,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,26,2
2021-09-21,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,7,25,24,4
2021-09-22,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,9,23,22,6
2021-09-23,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,24,23,5
2021-09-24,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,7,25,25,3
2021-09-25,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,26,2
2021-09-26,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,27,1
2021-09-27,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,10,22,22,6
2021-09-28,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,24,24,4
2021-09-29,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,4,26,26,2
2021-09-30,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,27,27,1
2021-10-01,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,27,27,1
2021-10-02,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,3,27,27,1
2021-10-03,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,24,24,4
2021-10-04,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,26,2
2021-10-05,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,26,2
2021-10-06,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,27,1
2021-10-07,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,7,25,25,3
2021-10-08,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,4,28,28,0
2021-10-09,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,4,28,28,0
2021-10-10,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,2,29,28,0
2021-10-11,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,26,2
2021-10-12,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,26,2
2021-10-13,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,6,26,26,2
2021-10-14,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,26,2
2021-10-15,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,6,26,26,2
2021-10-16,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,24,24,4
2021-10-17,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,24,23,5
2021-10-18,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,24,24,4
2021-10-19,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,8,24,24,4
2021-10-20,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,5,27,27,1
2021-10-21,16,Thüringen,16077,LK Altenburger Land,1,2,0,0.0,7,25,25,3
2021-10-22,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,7,25,24,4
2021-10-23,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,7,25,24,4
2021-10-24,16,Thüringen,16077,LK Altenburger Land,1,2,1,0.0,7,25,24,4
2021-10-25,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,4,28,26,2
2021-10-26,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,3,29,27,1
2021-10-27,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,5,27,26,2
2021-10-28,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,6,26,25,3
2021-10-29,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,5,27,27,1
2021-10-30,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,6,26,26,2
2021-10-31,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,7,25,25,3
2021-11-01,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,5,27,27,1
2021-11-02,16,Thüringen,16077,LK Altenburger Land,1,2,1,1.0,6,26,26,2
2021-11-03,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,6,26,26,2
2021-11-04,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,4,28,27,1
2021-11-05,16,Thüringen,16077,LK Altenburger Land,1,2,2,1.0,7,25,24,4
2021-11-06,16,Thüringen,16077,LK Altenburger Land,1,2,3,3.0,4,28,27,1
2021-11-07,16,Thüringen,16077,LK Altenburger Land,1,2,3,3.0,4,28,26,2
2021-11-08,16,Thüringen,16077,LK Altenburger Land,1,2,2,2.0,5,27,25,3
2021-11-09,16,Thüringen,16077,LK Altenburger Land,1,2,3,2.0,5,27,25,3
2021-11-10,16,Thüringen,16077,LK Altenburger Land,1,2,3,2.0,4,28,26,2
2021-11-11,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,4,28,25,3
2021-11-12,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,5,27,25,3
2021-11-13,16,Thüringen,16077,LK Altenburger Land,1,2,3,0.0,6,26,25,3
2021-11-14,16,Thüringen,16077,LK Altenburger Land,1,2,3,0.0,5,27,26,2
2021-11-15,16,Thüringen,16077,LK Altenburger Land,1,2,3,1.0,5,27,26,2
2021-11-16,16,Thüringen,16077,LK Altenburger Land,1,2,5,2.0,6,26,25,3
2021-11-17,16,Thüringen,16077,LK Altenburger Land,1,2,6,2.0,4,28,27,1
2021-11-18,16,Thüringen,16077,LK Altenburger Land,1,2,4,3.0,10,22,21,7
2021-11-19,16,Thüringen,16077,LK Altenburger Land,1,2,5,3.0,5,27,26,2
2021-11-20,16,Thüringen,16077,LK Altenburger Land,1,2,5,3.0,6,26,25,3
2021-11-21,16,Thüringen,16077,LK Altenburger Land,1,2,7,5.0,4,28,26,2
2021-11-22,16,Thüringen,16077,LK Altenburger Land,1,2,7,3.0,6,26,24,4
2021-11-23,16,Thüringen,16077,LK Altenburger Land,1,2,8,3.0,2,30,27,1
2021-11-24,16,Thüringen,16077,LK Altenburger Land,1,2,9,4.0,2,30,27,1
2021-11-25,16,Thüringen,16077,LK Altenburger Land,1,2,8,2.0,4,28,25,3
2021-11-26,16,Thüringen,16077,LK Altenburger Land,1,2,8,2.0,5,27,24,4
2021-11-27,16,Thüringen,16077,LK Altenburger Land,1,2,8,4.0,4,28,25,3
2021-11-28,16,Thüringen,16077,LK Altenburger Land,1,2,8,4.0,6,26,25,3
2021-11-29,16,Thüringen,16077,LK Altenburger Land,1,2,10,3.0,6,26,26,2
2021-11-30,16,Thüringen,16077,LK Altenburger Land,1,2,9,4.0,7,25,25,3
2021-12-01,16,Thüringen,16077,LK Altenburger Land,1,2,6,3.0,8,24,24,4
2021-12-02,16,Thüringen,16077,LK Altenburger Land,1,2,9,3.0,8,24,24,4
2021-12-03,16,Thüringen,16077,LK Altenburger Land,1,2,11,4.0,5,27,27,1
2021-12-04,16,Thüringen,16077,LK Altenburger Land,1,2,9,4.0,7,25,25,3
2021-12-05,16,Thüringen,16077,LK Altenburger Land,1,2,9,4.0,9,23,23,5
2021-12-06,16,Thüringen,16077,LK Altenburger Land,1,2,9,4.0,11,21,21,7
2021-12-07,16,Thüringen,16077,LK Altenburger Land,1,2,9,5.0,10,22,22,6
2021-12-08,16,Thüringen,16077,LK Altenburger Land,1,2,8,4.0,7,25,25,3
2021-12-09,16,Thüringen,16077,LK Altenburger Land,1,2,6,3.0,9,23,23,5
2021-12-10,16,Thüringen,16077,LK Altenburger Land,1,2,8,4.0,9,23,23,5
2021-12-11,16,Thüringen,16077,LK Altenburger Land,1,2,7,5.0,10,22,22,6
2021-12-12,16,Thüringen,16077,LK Altenburger Land,1,2,6,4.0,11,21,21,7
2021-12-13,16,Thüringen,16077,LK Altenburger Land,1,2,5,4.0,11,21,20,8
